Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
TechLab Digital Solutions,школа робототехники,Курсы робототехники; Компьютерные курсы,"улица Кайым Мухамедханов, 37а",3 этаж,,,Нура район,Астана,,Астана,Казахстан,Ср: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,5.0,7,87071357797,,,,,,https://instagram.com/techlabds_itclub,,,https://wa.me/77779856129,https://wa.me/77071357797,,,,,https://youtube.com/channel/UCvi9uzyEHadvce3ZmQ755QQ,51.144712,71.368512,https://2gis.com/firm/70000001051533969,branch
Union School,образовательный центр,Курсы робототехники; Центры раннего развития детей; Языковые школы; Помощь в обучении,"улица Илияс Омаров, 21/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-12:30 (по предварительной записи),+05:00,5.0,47,87071055526,,,,,,https://instagram.com/union.school.astana,,,https://wa.me/77071055526,,,,,,,51.138899,71.366997,https://2gis.com/firm/70000001065360674,branch
Your education space,,Курсы робототехники; Центры раннего развития детей; Дефектолог,"проспект Сарыарка, 31/2",4 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,5.0,5,87715792769,,,,,,https://instagram.com/yes.education.ast,,,https://wa.me/77715792769,,,,,,,51.172279,71.403956,https://2gis.com/firm/70000001094820495,branch
Абдуали,,Курсы робототехники; Спортивные секции; Обучение танцам; Курсы вокала; Детские / подростковые клубы,"улица Чингиз Айтматов, 40",НП: 20,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,,,87017878787,,,,,,,,,https://wa.me/77017878787,,,,,,,51.14124,71.365966,https://2gis.com/firm/70000001096097152,branch
Абдуали,,Курсы робототехники; Спортивные секции; Обучение танцам; Курсы вокала; Детские / подростковые клубы,"улица А 91, 16",,,Промышленный ж/м,Сарайшык район,Астана,,Астана,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,,,87017878787,,,,,,,,,https://wa.me/77017878787,,,,,,,51.118156,71.525505,https://2gis.com/firm/70000001095832511,branch
Академия Гениев,,Курсы робототехники; Компьютерные курсы; Спортивно-интеллектуальные клубы; Центры раннего развития детей; Детские / подростковые клубы,"проспект Мангилик Ел, 29/2",14 кабинет; 4 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,4.9,123,87787981078,,,,,,https://instagram.com/agenio_nursultan,,,https://wa.me/77787981078,,,,,,,51.108466,71.430667,https://2gis.com/firm/70000001053552176,branch
Алаш,образовательный центр,Курсы робототехники; Центры раннего развития детей; Логопед; Музыкальные курсы,"проспект Туран, 55/8",,,,Нура район,Астана,,Астана,Казахстан,Пн: 08:30-19:00; Вт: 08:30-19:00; Ср: 08:30-19:00; Чт: 08:30-19:00; Пт: 08:30-19:00; Сб: 08:30-19:00,+05:00,5.0,1,87074363735,,,,,,https://instagram.com/alash_ulttyq_mektebi,,,https://wa.me/77074363735,,,,,,,51.111383,71.392591,https://2gis.com/firm/70000001092516202,branch
Білім Ал,,Курсы робототехники; Центры раннего развития детей; Языковые школы; Спортивные секции; Музыкальные курсы,"улица Е 181, 1",цокольный этаж,,ДТ Западный,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-14:00,+05:00,5.0,15,87077327157,,,,,,https://instagram.com/bilim_al2024,,,https://wa.me/77077327157,,,,https://t.me/+77077327157,,,51.154209,71.363348,https://2gis.com/firm/70000001089005160,branch
ДараБілім,образовательный центр,Курсы робототехники; Центры раннего развития детей; Языковые школы,"Аль-Фараби проспект, 44/1",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-16:00,+05:00,5.0,20,87479036693,,,,http://taplink.cc/darabilim,,https://instagram.com/darabilim,,,https://wa.me/77479036693,,,,,,,51.086142,71.449499,https://2gis.com/firm/70000001064307433,branch
Дәстүр,,Курсы робототехники; Спортивные секции; Курсы вокала; Театральные курсы; Обучение танцам,"улица Улытау, 1/1",1 этаж,,Коктал-2 м-н,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00,+05:00,,,87786391432,,,,,,https://instagram.com/koktal_junior_hall,,,https://wa.me/77786391432,,,,,,,51.192105,71.341624,https://2gis.com/firm/70000001057680999,branch
Логос,центр дополнительного образования,Курсы робототехники; Языковые школы; Центры раннего развития детей; Логопед; Помощь в обучении,"улица Алиби Жангельдин, 3",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-15:00,+05:00,4.5,18,87172443734,87750007534,,,,,https://instagram.com/logos_center_astana,,,https://wa.me/77750007534,,,,,,,51.173354,71.409298,https://2gis.com/firm/70000001018102732,branch
Образовательный центр ,,Курсы робототехники; Центры раннего развития детей; Спортивно-интеллектуальные клубы; Детские / подростковые клубы,"Кабанбай батыр проспект, 56а",НП: 40,,,Есиль район,Астана,,Астана,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+05:00,5.0,1,87055767675,,,,,,,,,https://wa.me/77055767675,,,,,,,51.101132,71.408006,https://2gis.com/firm/70000001094603927,branch
Роби,,Курсы робототехники,"улица Гейдара Алиева, 4",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,,,87012200188,,,,,,https://instagram.com/robi.kazakhstan,,,https://wa.me/77012200188,,,,,,,51.100087,71.413663,https://2gis.com/firm/70000001095647472,branch
Роби,,Курсы робототехники,"улица Култегин, 14",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,,,87012200188,,,,,,https://instagram.com/robi.kazakhstan,,,https://wa.me/77012200188,,,,,,,51.135801,71.375456,https://2gis.com/firm/70000001095354081,branch
Роби,,Курсы робототехники,"улица Касым Кайсенов, 2",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,,,87012200188,,,,,,https://instagram.com/robi.kazakhstan,,,https://wa.me/77012200188,,,,,,,51.095191,71.44385,https://2gis.com/firm/70000001095354053,branch
Роби,,Курсы робототехники,"улица Гейдара Алиева, 10/1",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,,,87012200188,,,,,,https://instagram.com/robi.kazakhstan,,,https://wa.me/77012200188,,,,,,,51.093774,71.412892,https://2gis.com/firm/70000001095354020,branch
Роби,,Курсы робототехники,"проспект Туран, 50/5",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,,,87012200188,,,,,,https://instagram.com/robi.kazakhstan,,,https://wa.me/77012200188,,,,,,,51.105512,71.401986,https://2gis.com/firm/70000001093043530,branch
Роби,,Курсы робототехники,"улица Тарас Шевченко, 8",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,,,87012200188,,,,,,https://instagram.com/robi.kazakhstan,,,https://wa.me/77012200188,,,,,,,51.159847,71.406346,https://2gis.com/firm/70000001093043529,branch
Роби,,Курсы робототехники,"Жанибека тархана улица, 2",1 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,,,87012200188,,,,,,https://instagram.com/robi.kazakhstan,,,https://wa.me/77012200188,,,,,,,51.160843,71.441983,https://2gis.com/firm/70000001093043518,branch
Роби,,Курсы робототехники,"проспект Тауелсиздик, 34/2",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,,,87012200188,,,,,,https://instagram.com/robi.kazakhstan,,,https://wa.me/77012200188,,,,,,,51.13855,71.467393,https://2gis.com/firm/70000001093043513,branch
Роби,,Курсы робототехники,"улица Кайым Мухамедханов, 11/2",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,,,87012200188,,,,,,https://instagram.com/robi.kazakhstan,,,https://wa.me/77012200188,,,,,,,51.139635,71.395802,https://2gis.com/firm/70000001092728914,branch
Роботек,школа образовательной и спортивной робототехники,Курсы робототехники,"улица Габит Мусрепов, 8",201 кабинет; 2 этаж,,9 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,5.0,1,87754567350 (единый номер: пн-вс 8:30-19:00),,,,http://robotek.kz,,https://instagram.com/robotek.kz,,,https://wa.me/77754567350,,,,,,https://youtube.com/@ROBOTEKkz2014,51.152661,71.501513,https://2gis.com/firm/70000001082771908,branch
Роботек,школа образовательной и спортивной робототехники,Курсы робототехники,"улица Алексея Петрова, 8/1","1, 4 аудитория; 2, 3 этаж",,1 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00 (по предварительной записи),+05:00,5.0,11,87754567350 (единый номер: пн-вс 8:30-19:00),,,,http://robotek.kz,,https://instagram.com/robotek.kz,,,https://wa.me/77754567350,,,,,,https://youtube.com/@ROBOTEKkz2014,51.149185,71.463143,https://2gis.com/firm/70000001045940148,branch
Роботек,школа образовательной и спортивной робототехники,Курсы робототехники,"улица Туркестан, 2",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00 (по предварительной записи: пн-вс),+05:00,5.0,30,87754567350 (единый номер: пн-вс 8:30-19:00),,,,http://robotek.kz,,https://instagram.com/robotek.kz,,,https://wa.me/77754567350,,,,,,https://youtube.com/@ROBOTEKkz2014,51.118771,71.428944,https://2gis.com/firm/70000001039734499,branch
Роботек,школа образовательной и спортивной робототехники,Курсы робототехники; Компьютерные курсы,"улица Бейбитшилик, 33/1",8 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,5.0,99,87754567350 (единый номер: пн-вс 8:30-19:00),,,,http://robotek.kz,,https://instagram.com/robotek.kz,,,https://wa.me/77754567350,,,,,,https://youtube.com/@ROBOTEKkz2014,51.174628,71.416966,https://2gis.com/firm/70000001039266390,branch
Роботек,школа образовательной и спортивной робототехники,Курсы робототехники,"улица Туркестан, 10",2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00 (по предварительной записи),+05:00,4.9,23,87754567350 (единый номер: пн-вс 8:30-19:00),,,,http://robotek.kz,,https://instagram.com/robotek.kz,,,https://wa.me/77754567350,,,,,,https://youtube.com/@ROBOTEKkz2014,51.109703,71.42623,https://2gis.com/firm/70000001029170039,branch
Центр кружков,,Курсы робототехники; Спортивные секции; Детские / подростковые клубы; Спортивно-интеллектуальные клубы; Обучение танцам,"проспект Женис, 29/3",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00,+05:00,3.3,8,87057155580,87711857496,,,,,https://instagram.com/artsport_club,,,https://wa.me/77057155580,https://wa.me/77711857496,,,,,,51.171904,71.409924,https://2gis.com/firm/70000001059569303,branch
Эрудит,образовательный центр,Курсы робототехники; Центры раннего развития детей; Помощь в обучении; Языковые школы; Детские / подростковые клубы,"улица Алматы, 3",5 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,5.0,7,87473795063,87021783581,,,,,,,,https://wa.me/77473795063,https://wa.me/77021783581,,,,,,51.11844,71.416111,https://2gis.com/firm/70000001062515140,branch
Юный техник,центр образования,Курсы робототехники,"улица Илияс Омаров, 19/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,,,87017219227,,,,,,,,,https://wa.me/77017219227,,,,,,,51.137974,71.367238,https://2gis.com/firm/70000001090533506,branch
Atyrau Youngengineers,школа робототехники,Курсы робототехники,"улица Адмирал Лев Владимирский, 100г",,,Медиков м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,,,87712487346,,,,,,https://instagram.com/atyrau.youngengineers,,,https://wa.me/77712487346,,,,,,,47.092152,51.87472,https://2gis.com/firm/70000001082648677,branch
Creativehub Atyrau,центр образования и инноваций,Курсы робототехники; Детские лагеря; Спортивно-интеллектуальные клубы; Языковые школы,"улица Абая, 26/1",19-20 офис,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,4.8,19,87479878798,,,,,,https://instagram.com/creativehub.atyrau,,,https://wa.me/77479878798,,,,,,,47.104751,51.934529,https://2gis.com/firm/70000001083509374,branch
Onai School,детская школа,Курсы робототехники; Центры раннего развития детей; Языковые школы; Детские / подростковые клубы; Частные детские сады,"улица Мукан Тулебаев, ст40",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 08:30-18:30; Вт: 08:30-18:30; Ср: 08:30-18:30; Чт: 08:30-18:30; Пт: 08:30-18:30; Сб: 10:00-17:00; Вс: 10:00-17:00,+05:00,4.6,29,87010492626,,,,http://onai-school.business.site,,https://instagram.com/onaischool,https://facebook.com/Onaischool,,https://wa.me/77010492626,,,,,,https://youtube.com/channel/UCf833WZM1Jwk3N0YmwNTKIQ,47.106305,51.892225,https://2gis.com/firm/70000001034814748,branch
Roboland ,,Курсы робототехники,,,,Ак Шагала м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,,+05:00,5.0,2,87781316548,,,,,,https://instagram.com/roboland_atyrau,,,https://wa.me/77781316548,,,,,,,47.095019,51.89338,https://2gis.com/firm/70000001090516441,branch
RoboMax,центр робототехники и английского языка,Курсы робототехники,"Георгия Канцева улица, 5",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-15:00; Вт: 10:00-15:00; Ср: 10:00-15:00; Чт: 10:00-15:00; Пт: 10:00-15:00; Сб: 10:00-15:00; Вс: 10:00-15:00,+05:00,,,87757179504,,,,,,https://instagram.com/robomax_school,,,https://wa.me/77757179504,,,,,,,47.107437,51.9342,https://2gis.com/firm/70000001089354880,branch
RoboMax,центр робототехники и английского языка,Курсы робототехники; Языковые школы; Разработка / продвижение сайтов,"улица Болата Ермуханова, 16/1",1 этаж,,Томарлы с.,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 11:00-16:00; Вт: 11:00-16:00; Ср: 11:00-16:00; Чт: 11:00-16:00; Пт: 11:00-16:00; Сб: 11:00-16:00; Вс: 11:00-16:00,+05:00,5.0,1,87757179504,,,,,,https://instagram.com/robomax_school,,,https://wa.me/77757179504,,,,,,,47.163437,51.951219,https://2gis.com/firm/70000001050816357,branch
RoboPark,центр робототехники,Курсы робототехники,"проспект Абулхайр-хана, 51а блок Б",,,Нурсая м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Вт: 09:30-17:00; Ср: 09:30-17:00; Чт: 09:30-17:00; Пт: 09:30-17:00; Сб: 09:30-17:00; Вс: 09:30-17:00,+05:00,4.9,31,87781082608,87757873997,,,,,https://instagram.com/robopark.atyrau,,,https://wa.me/77781082608,https://wa.me/77757873997,,,,,,47.110322,51.852502,https://2gis.com/firm/70000001089637108,branch
Smart Center,учебный центр,Курсы робототехники; Языковые школы; Помощь в обучении; Центры раннего развития детей,"улица Болата Ермуханова, 16/1",,,Томарлы с.,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 11:00-16:00; Вт: 11:00-16:00; Ср: 11:00-16:00; Чт: 11:00-16:00; Пт: 11:00-16:00; Сб: 11:00-16:00; Вс: 11:00-16:00,+05:00,5.0,1,87026033385,,,,http://marketolognursulu.tilda.ws,,https://instagram.com/smartcenter_atyrau,,,https://wa.me/77026033385,,,,,,,47.163437,51.951219,https://2gis.com/firm/70000001060670700,branch
Teren Oi,центр развития интеллекта,Курсы робототехники; Помощь в обучении; Компьютерные курсы,"улица Гизат Алипов, 2а",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-15:30; Вт: 10:00-17:00; Ср: 10:00-15:30; Чт: 10:00-17:00; Пт: 10:00-17:00; Сб: 10:00-18:30; Вс: 10:00-18:30,+05:00,4.7,3,87020001429,87758881429,,,http://www.robotclub.kz,http://terenoi.kz,https://instagram.com/terenoi.atyrau,,,https://wa.me/77758881429,,,,,,,47.098659,51.924311,https://2gis.com/firm/70000001035208984,branch
Бастау,образовательный центр,Курсы робототехники; Центры раннего развития детей; Спортивные секции; Языковые школы; Музыкальные курсы,"проспект Султана Бейбарыса, 450а",2 этаж,,Самал м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Сб: 09:00-20:00; Вс: 09:00-20:00 (по предварительной записи: пн-вс),+05:00,,,87777756885,,,,,,https://instagram.com/bastau_atyrau,,,https://wa.me/77777756885,,,,,,,47.119496,51.867795,https://2gis.com/firm/70000001086908777,branch
Бастау,образовательный центр,Курсы робототехники; Центры раннего развития детей; Спортивные секции; Языковые школы; Музыкальные курсы,"улица Жолашар, 10",,,Атырау м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Сб: 09:00-20:00; Вс: 09:00-18:00 (по предварительной записи: пн-вс),+05:00,5.0,2,87777756885,,,,,,https://instagram.com/bastau_atyrau,,,https://wa.me/77777756885,,,,,,,47.134378,51.923738,https://2gis.com/firm/70000001063214096,branch
Заңғар Болашақ,учебный центр,Курсы робототехники; Центры раннего развития детей; Помощь в обучении; Языковые школы,"Георгия Канцева улица, 5",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,5.0,3,87757455078,,,,,,https://instagram.com/zangar.bolashak,,,https://wa.me/77757455078,,,,,,,47.107437,51.9342,https://2gis.com/firm/70000001081041670,branch
Best,образовательный центр,Курсы робототехники; Языковые школы; Центры раннего развития детей,"улица Гурбы, 102",,,,,Сатпаев,Сатпаев городская администрация,Улытау область,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00; Сб: 09:00-14:00",+05:00,5.0,2,87055750025,87002102710,,,,,https://instagram.com/best_in_sat,,,https://wa.me/77055750025,,,,,,,47.903283,67.528237,https://2gis.com/firm/70000001078978258,branch
Best,образовательный центр,Курсы робототехники; Языковые школы; Центры раннего развития детей,"проспект Независимости, 25",,,,,Сатпаев,Сатпаев городская администрация,Улытау область,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00; Сб: 09:00-14:00",+05:00,5.0,1,87055750025,87002102710,,,,,https://instagram.com/best_in_sat,,,https://wa.me/77055750025,,,,,,,47.907419,67.533305,https://2gis.com/firm/70000001069302073,branch
Saturn,,Курсы робототехники,"улица Сатпаева, 2",,,,,Жезказган,Жезказган городская администрация,Улытау область,Казахстан,"Вт: 09:00-13:00, 14:00-19:00; Чт: 09:00-13:00, 14:00-19:00; Сб: 10:00-17:00; Вс: 10:00-17:00 (по предварительной записи)",+05:00,,,87054667136,,,,,,https://instagram.com/shkola_robototehnik_zhez,,,https://wa.me/77054667136,,,,,,,47.793824,67.712869,https://2gis.com/firm/70000001075594969,branch
4kidsclub,,Курсы робототехники; Центры раннего развития детей; Языковые школы; Детские / подростковые клубы,"улица Крылова, 56",,100019,Михайловка м-н,Казыбек Би район,Караганда,Караганда городская администрация,Карагандинская область,Казахстан,Пн: 08:30-18:30; Вт: 08:30-18:30; Ср: 08:30-18:30; Чт: 08:30-18:30; Пт: 08:30-18:30; Сб: 08:30-18:30,+05:00,4.4,5,87071444056,,,,,,https://instagram.com/4kidsclub_krg,,,https://wa.me/77071444056,,,,,,,49.799372,73.061911,https://2gis.com/firm/70000001067369886,branch
BayMax,студия робототехники,Курсы робототехники,"улица Сейфуллина, 50",38 офис; 2 этаж,101403,Горка Дружбы м-н,,Темиртау,Темиртау городская администрация,Карагандинская область,Казахстан,,+05:00,,,87758257402,87009662756,,,,,https://instagram.com/baymax_temirtau,,,https://wa.me/77758257402,,,,,,,50.054963,72.990685,https://2gis.com/firm/70000001037597984,branch
Dignatera,клуб робототехники,Курсы робототехники; Центры раннего развития детей,"микрорайон Восток 1, 3/1",10 офис; 2 этаж,100029,Майкудук м-н,Алихана Бокейхана район,Караганда,Караганда городская администрация,Карагандинская область,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00 (по предварительной записи),+05:00,5.0,2,87472602134,,,,,,https://instagram.com/dignatera_krg,,,https://wa.me/77472602134,,,,,,,49.852239,73.187841,https://2gis.com/firm/70000001055133069,branch
DNK Studio,,Курсы робототехники; Языковые школы,"улица Ерубаева, 35",,100012,Новый город м-н,Казыбек Би район,Караганда,Караганда городская администрация,Карагандинская область,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 10:00-15:00 (по предварительной записи),+05:00,4.4,23,87212973251,87017465182,87009176137,,http://dnkstudio.kz,,https://instagram.com/dnk_studio_krg,,,https://wa.me/77017465182,https://wa.me/77009176137,,,,,,49.808644,73.089365,https://2gis.com/firm/11822477302911257,branch
Dream school,образовательно-репетиторский центр,Курсы робототехники; Центры раннего развития детей; Логопед; Спортивно-интеллектуальные клубы; Языковые школы,"микрорайон Степной-1, 5/3",,100024,Юго-Восточный м-н,Казыбек Би район,Караганда,Караганда городская администрация,Карагандинская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.8,34,87026164505,,,,,,https://instagram.com/dream_schoolkrg,,,https://wa.me/77026164505,,,,,,,49.780554,73.15295,https://2gis.com/firm/70000001037238843,branch
It center,школа компьютерных технологий,Курсы робототехники; Компьютерные курсы; Языковые школы,"улица Металлистов, 38",,100020,Пришахтинск ж/м,Алихана Бокейхана район,Караганда,Караганда городская администрация,Карагандинская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00 (по предварительной записи),+05:00,3.0,2,87471867584,87212329420,,,,,https://instagram.com/it_center_krg,,,https://wa.me/77471867584,,,,,,,49.899203,73.08893,https://2gis.com/firm/70000001052258313,branch
It school,компьютерная школа,Курсы робототехники; Компьютерные курсы; Помощь в обучении; Курсы вокала,"9-й микрорайон, 77/1",1 этаж,101401,,,Темиртау,Темиртау городская администрация,Карагандинская область,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+05:00,5.0,10,87765334658,,,,,,,,,https://wa.me/77765334658,,,,,,,50.039869,72.968973,https://2gis.com/firm/70000001046738273,branch
